question,label
placeholder textalign dynamic change,1
[dart] named parameter 'home' defined,1
tensorflow building graph slow — two hour looping,1
question: mapview region delta unit,0
"installed androidstudio computer,but flutter doctor detect it.help me!thanks",1
"bug report closed ""duplicate"" without saying duplicate",1
native proxy enabled. use `node --harmony-proxies` enable them.,1
missingpluginexception(no implementation found method currentuser channel plugins.flutter.io/firebase_auth,0
customscrollview within expansiontile error,1
cannot able use expanded inside singlechildscrollview,1
install tensorflow pi zero,1
colorcustomizations autodetectcolorscheme,0
convert retrained data .pb format io camera example?,1
"[bug] v1.37 vscode-exploration, restore-down-button working",0
unable run test app,1
starter-redis boot failure,1
"can't modify host file window 10 ""retry admin""",0
apply tensorflow arff,1
tf 2.0 can't import anymore window typeerror,0
tensorboard give valueerror: duplicate plugins name projector,0
placeholder name inconsistent re-entering scope,1
app crash samsung s10 load (api28 android9),0
flake imagedecoderfixturetest.exifdataisrespectedondecode skia roll presubmit,0
"updating flutter, got ""error converting bytecode dex"" error",0
modal open io __dev__ true/debugger turned,0
"dataset generator far slower tensor slices, anything improve?",0
align hover status bar entry,0
transformlayer participate raster caching,0
exception: build process failed (linux),0
panresponder inside list issue,0
valueerror: python input incompatible input_signature:,0
cannot import tensorflow python,1
ticket closed (url issue.,1
something wrong slim.learning.train?,1
use applicationname convention boot distribution's basename,0
binder fail pojos generic type,0
"(feature request) add synthetic gradient training per ""decoupled neural interface using synthetic gradients""",0
io appstore version many crash,1
"api ""endrecording().toimage"" may appear empty data version ""1.9.1+hotfix.2""",0
add monolithic flag compile tensorflow-lite cmake tool,0
training stuck allocation exceeds 10% system memory,1
returning mono.empty cause controller halt,0
[0.57] [android] datepickerandroid open null mindate,0
enabling assertion flutter build profile mode,0
"valueerror: input 0 layer ""sequential"" incompatible layer: expected shape=(none, 1, 4), found shape=(none, 1, 34)",1
pix2pix tutorial broken tf2 rc,0
undefined object (evaluating 't.manager'),1
build_pip_package => package '@iron_range_behavior//',0
flutter image retains list even image change,1
untrusted workspace joining liveshare session,0
non-ok-status cudalaunchkernel torch also imported,0
error installing react native,1
estimator warmstartsettings cause extreme training slowdown.,0
insider freeze using setting editor,0
ctrl-z deletes instead restores!,1
switch docker upgrade script submit issue rather pull-request,0
toolbarandroid navigator,1
need remove dependency android studio.,1
add logging configfileapplicationlistener,0
embedding lookup table mask padding value,1
snap package fails store validation check,0
ops reading cloud spanner,0
interpolar animation,1
`web_smoke_test` flake,0
remove plugin management maven-site-plugin,0
`transform` widget rendered incorrectly `filterquality` set,0
"build appbundle ""gradle build failed produce android bundle package""",1
spring boot- serverpropertiesautoconfiguration.class can't opened exist,1
run train op multiple time,1
"tensorflow 1.3,1.4,1.5,1.6 dll load failed cuda 9.1, cudnn-7.05, window 10",0
edited tab always left,1
string well-formed utf-16,1
fidelity issue cupertino dialog,1
training cifar10 two gpus crashed.,0
update specific route initialroutestack navigator jumpto it?,1
enable ability acquire token_key provided resttemplate,1
convert custom model(.pb) uint8 float16?,0
mysterious exception using tf.data.dataset.from_tensor_slices,1
tensor value dimension resolved reading tfrecord file twice much required rescontruct dimension？,1
react native image prefetch,1
unable determine code source archive running java webstart,1
linkingios.addeventlistener deep linking working app closed.,1
spring boot 2.0 support import @controllerendpoint managementcontextconfiguration ?,1
keyboard override,1
"flutter issue ,failed assertion textstyle",1
"kernel restating importing tensorflow old macs, work ok new one.",0
module 'tensorflow' attribute 'adamoptimizer',0
kera layer weights/sublayers getting deleted creating model them. model.summary() / plot_model still show weight part graph though,1
